country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Tonga,2020,105695,0.96 %,983,-800,22.4,3.58,147,24.3 %,25648,0.00 %,7794798739,198
Tonga,2025,110558,0.90 %,973,-800,23.3,3.58,154,24.4 %,26950,0.00 %,8184437460,197
Tonga,2030,115621,0.90 %,1013,-800,24.4,3.58,161,24.9 %,28840,0.00 %,8548487400,196
Tonga,2035,120808,0.88 %,1037,-800,25.4,3.58,168,26.0 %,31350,0.00 %,8887524213,195
Tonga,2040,125787,0.81 %,996,-800,26.4,3.58,175,27.4 %,34456,0.00 %,9198847240,195
Tonga,2045,130310,0.71 %,905,-800,27.3,3.58,181,29.2 %,38030,0.00 %,9481803274,195
Tonga,2050,134180,0.59 %,774, ,28.2,3.58,186,31.0 %,41654,0.00 %,9735033990,195
