country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Greenland,2020,56770,0.14 %,79,0,87.3 %,49552,0 %,7794798739,209
Greenland,2025,57190,0.15 %,84,0,88.4 %,50575,0 %,8184437460,209
Greenland,2030,57091,-0.03 %,-20,0,89.5 %,51103,0 %,8548487400,209
Greenland,2035,56535,-0.2 %,-111,0,90.5 %,51159,0 %,8887524213,209
Greenland,2040,55627,-0.32 %,-182,0,91.4 %,50831,0 %,9198847240,210
Greenland,2045,54505,-0.41 %,-224,0,92.2 %,50257,0 %,9481803274,210
Greenland,2050,53300,-0.45 %,-241,0,93 %,49565,0 %,9735033990,212
