country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Somalia,2020,15893222,2.87 %,419204,-40000,16.7,6.12,25,46.8 %,7431038,0.20 %,7794798739,73
Somalia,2025,18376514,2.95 %,496658,-29999,17.2,6.12,29,49.9 %,9168559,0.22 %,8184437460,71
Somalia,2030,21191037,2.89 %,562905,-29999,17.6,6.12,34,53.0 %,11229249,0.25 %,8548487400,67
Somalia,2035,24277396,2.76 %,617272,-29999,18.1,6.12,39,56.1 %,13626150,0.27 %,8887524213,65
Somalia,2040,27590981,2.59 %,662717,-29999,18.8,6.12,44,59.3 %,16358048,0.30 %,9198847240,62
Somalia,2045,31131086,2.44 %,708021,-29999,19.6,6.12,50,62.4 %,19435527,0.33 %,9481803274,61
Somalia,2050,34922447,2.33 %,758272, ,20.5,6.12,56,65.5 %,22865427,0.36 %,9735033990,58
