country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Tuvalu,2020,11792,1.22 %,139,393,62.4 %,7361,0 %,7794798739,225
Tuvalu,2025,12481,1.14 %,138,416,65.4 %,8167,0 %,8184437460,225
Tuvalu,2030,13164,1.07 %,137,439,68 %,8951,0 %,8548487400,225
Tuvalu,2035,13858,1.03 %,139,462,69.7 %,9653,0 %,8887524213,225
Tuvalu,2040,14573,1.01 %,143,486,70.3 %,10240,0 %,9198847240,225
Tuvalu,2045,15284,0.96 %,142,509,70.5 %,10771,0 %,9481803274,225
Tuvalu,2050,15983,0.9 %,140,533,70.8 %,11310,0 %,9735033990,225
