country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Angola,2020,32866272,3.34 %,996378,6413,16.7,5.55,26,66.7 %,21936953,0.42 %,7794798739,44
Angola,2025,38478226,3.20 %,1122391,0,17.2,5.55,31,69.8 %,26847887,0.47 %,8184437460,41
Angola,2030,44834712,3.11 %,1271297,-1000,17.9,5.55,36,72.3 %,32437132,0.52 %,8548487400,37
Angola,2035,51952545,2.99 %,1423567,-1000,18.6,5.55,42,74.5 %,38691449,0.58 %,8887524213,35
Angola,2040,59782170,2.85 %,1565925,-999,19.2,5.55,48,76.2 %,45556399,0.65 %,9198847240,30
Angola,2045,68297800,2.70 %,1703126,-1000,19.9,5.55,55,77.7 %,53037025,0.72 %,9481803274,28
Angola,2050,77420346,2.54 %,1824509, ,20.7,5.55,62,79.0 %,61131579,0.80 %,9735033990,24
