country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Tokelau,2020,1357,1.62 %,21,136,0 %,0,0 %,7794798739,234
Tokelau,2025,1402,0.65 %,9,140,0 %,0,0 %,8184437460,234
Tokelau,2030,1448,0.65 %,9,145,0 %,0,0 %,8548487400,234
Tokelau,2035,1482,0.47 %,7,148,0 %,0,0 %,8887524213,234
Tokelau,2040,1509,0.36 %,5,151,0 %,0,0 %,9198847240,234
Tokelau,2045,1537,0.37 %,6,154,0 %,0,0 %,9481803274,234
Tokelau,2050,1565,0.36 %,6,157,0 %,0,0 %,9735033990,234
