country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Samoa,2020,198414,0.50 %,980,-2803,21.8,3.90,70,18.0 %,35799,0.00 %,7794798739,188
Samoa,2025,209319,1.08 %,2181,-1520,22.6,3.90,74,17.1 %,35747,0.00 %,8184437460,188
Samoa,2030,220371,1.03 %,2210,-1520,23.5,3.90,78,16.6 %,36667,0.00 %,8548487400,188
Samoa,2035,231859,1.02 %,2298,-1520,24.5,3.90,82,16.9 %,39123,0.00 %,8887524213,188
Samoa,2040,243896,1.02 %,2407,-1520,25.6,3.90,86,17.5 %,42759,0.00 %,9198847240,188
Samoa,2045,256108,0.98 %,2442,-1520,26.9,3.90,90,18.5 %,47472,0.00 %,9481803274,188
Samoa,2050,267391,0.87 %,2257, ,27.9,3.90,94,19.6 %,52365,0.00 %,9735033990,188
