country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Tajikistan,2020,9537645,2.44 %,216723,-20000,22.4,3.61,68,27.3 %,2606273,0.12 %,7794798739,95
Tajikistan,2025,10563159,2.06 %,205103,-20000,22.7,3.61,75,28.3 %,2987515,0.13 %,8184437460,89
Tajikistan,2030,11557369,1.82 %,198842,-20000,23.2,3.61,83,29.8 %,3444419,0.14 %,8548487400,85
Tajikistan,2035,12642672,1.81 %,217061,-20000,23.9,3.61,90,31.7 %,4008653,0.14 %,8887524213,83
Tajikistan,2040,13845882,1.83 %,240642,-20000,24.8,3.61,99,33.9 %,4691209,0.15 %,9198847240,82
Tajikistan,2045,15064804,1.70 %,243784,-20000,25.9,3.61,108,36.1 %,5445232,0.16 %,9481803274,81
Tajikistan,2050,16208250,1.47 %,228689, ,26.9,3.61,116,38.5 %,6242806,0.17 %,9735033990,80
