country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Bahrain,2020,1701575,4.40 %,65945,47800,32.5,2.00,2239,89.3 %,1519595,0.02 %,7794798739,152
Bahrain,2025,1865081,1.85 %,32701,15000,33.8,2.00,2454,90.0 %,1678649,0.02 %,8184437460,151
Bahrain,2030,2013416,1.54 %,29667,13000,34.3,2.00,2649,90.8 %,1828495,0.02 %,8548487400,151
Bahrain,2035,2118997,1.03 %,21116,6000,35.5,2.00,2788,91.6 %,1941261,0.02 %,8887524213,149
Bahrain,2040,2199711,0.75 %,16143,4000,36.9,2.00,2894,92.3 %,2030932,0.02 %,9198847240,150
Bahrain,2045,2264664,0.58 %,12991,4000,38.0,2.00,2980,93.0 %,2105879,0.02 %,9481803274,149
Bahrain,2050,2316049,0.45 %,10277, ,39.9,2.00,3047,93.6 %,2168914,0.02 %,9735033990,149
