country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Ethiopia,2020,114963588,2.66 %,2825626,30000,19.5,4.30,115,21.3 %,24463423,1.47 %,7794798739,12
Ethiopia,2025,129749455,2.45 %,2957173,-12000,20.6,4.30,130,23.5 %,30487323,1.59 %,8184437460,11
Ethiopia,2030,144944299,2.24 %,3038969,-12000,21.8,4.30,145,25.9 %,37495720,1.70 %,8548487400,10
Ethiopia,2035,160230922,2.03 %,3057325,-12000,23.0,4.30,160,28.4 %,45488077,1.80 %,8887524213,9
Ethiopia,2040,175465979,1.83 %,3047011,-12000,24.3,4.30,175,31.0 %,54394212,1.91 %,9198847240,9
Ethiopia,2045,190610533,1.67 %,3028911,-12000,25.8,4.30,191,33.6 %,64087447,2.01 %,9481803274,9
Ethiopia,2050,205410675,1.51 %,2960028, ,27.3,4.30,205,36.3 %,74536815,2.11 %,9735033990,8
