country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Madagascar,2020,27691018,2.70 %,691386,-1500,19.6,4.11,48,38.5 %,10670252,0.36 %,7794798739,51
Madagascar,2025,31509841,2.62 %,763765,-1500,20.4,4.11,54,41.9 %,13199949,0.38 %,8184437460,51
Madagascar,2030,35622321,2.48 %,822496,-1500,21.2,4.11,61,45.2 %,16101660,0.42 %,8548487400,49
Madagascar,2035,39948586,2.32 %,865253,-1500,22.0,4.11,69,48.4 %,19327758,0.45 %,8887524213,45
Madagascar,2040,44471365,2.17 %,904556,-1500,22.9,4.11,76,51.5 %,22905168,0.48 %,9198847240,42
Madagascar,2045,49174969,2.03 %,940721,-1500,23.8,4.11,85,54.6 %,26853051,0.52 %,9481803274,39
Madagascar,2050,54048128,1.91 %,974632, ,24.8,4.11,93,57.6 %,31157741,0.56 %,9735033990,38
