country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Mali,2020,20250833,3.04 %,562411,-40000,16.3,5.92,17,44.0 %,8906636,0.26 %,7794798739,60
Mali,2025,23415891,2.95 %,633012,-40000,17.0,5.92,19,47.8 %,11190626,0.29 %,8184437460,59
Mali,2030,26957396,2.86 %,708301,-40000,17.8,5.92,22,51.4 %,13849850,0.32 %,8548487400,58
Mali,2035,30819218,2.71 %,772364,-40000,18.6,5.92,25,54.7 %,16846185,0.35 %,8887524213,56
Mali,2040,34938568,2.54 %,823870,-40000,19.4,5.92,29,57.8 %,20182154,0.38 %,9198847240,56
Mali,2045,39212640,2.34 %,854814,-40000,20.4,5.92,32,60.8 %,23856107,0.41 %,9481803274,51
Mali,2050,43585530,2.14 %,874578, ,21.5,5.92,36,63.8 %,27825131,0.45 %,9735033990,49
