country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Kenya,2020,53771296,2.35 %,1178592,-10000,20.1,3.52,94,27.8 %,14975059,0.69 %,7794798739,27
Kenya,2025,59981310,2.21 %,1242003,-10000,21.5,3.52,105,30.6 %,18371967,0.73 %,8184437460,26
Kenya,2030,66449654,2.07 %,1293669,-10000,23.0,3.52,117,33.7 %,22382984,0.78 %,8548487400,25
Kenya,2035,73026288,1.91 %,1315327,-10000,24.3,3.52,128,37.0 %,27025992,0.82 %,8887524213,21
Kenya,2040,79469670,1.71 %,1288676,-10000,25.7,3.52,140,40.6 %,32241885,0.86 %,9198847240,21
Kenya,2045,85669261,1.51 %,1239918,-10000,26.9,3.52,151,44.3 %,37975346,0.90 %,9481803274,20
Kenya,2050,91575089,1.34 %,1181166, ,28.1,3.52,161,48.2 %,44184721,0.94 %,9735033990,20
