country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Cyprus,2020,1207359,0.79 %,9275,5000,37.3,1.34,131,66.8 %,806754,0.02 %,7794798739,158
Cyprus,2025,1244676,0.61 %,7463,5000,39.5,1.34,135,67.3 %,838047,0.02 %,8184437460,158
Cyprus,2030,1274972,0.48 %,6059,5000,41.6,1.34,138,68.5 %,872761,0.01 %,8548487400,159
Cyprus,2035,1301056,0.41 %,5217,5000,43.5,1.34,141,70.1 %,911686,0.01 %,8887524213,157
Cyprus,2040,1323767,0.35 %,4542,5000,45.1,1.34,143,72.1 %,954053,0.01 %,9198847240,157
Cyprus,2045,1342020,0.27 %,3651,5000,46.6,1.34,145,74.1 %,994052,0.01 %,9481803274,158
Cyprus,2050,1354591,0.19 %,2514, ,47.9,1.34,147,76.0 %,1029826,0.01 %,9735033990,157
