country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Burkina Faso,2020,20903273,2.91 %,558530,-25000,17.6,5.23,76,30.6 %,6397911,0.27 %,7794798739,59
Burkina Faso,2025,23995149,2.80 %,618375,-25000,18.2,5.23,88,33.8 %,8113116,0.29 %,8184437460,58
Burkina Faso,2030,27404039,2.69 %,681778,-25000,19.0,5.23,100,37.1 %,10163069,0.32 %,8548487400,56
Burkina Faso,2035,31106139,2.57 %,740420,-25000,19.8,5.23,114,40.4 %,12558811,0.35 %,8887524213,55
Burkina Faso,2040,35051012,2.42 %,788975,-25000,20.7,5.23,128,43.6 %,15282220,0.38 %,9198847240,55
Burkina Faso,2045,39175624,2.25 %,824922,-25000,21.7,5.23,143,46.8 %,18314837,0.41 %,9481803274,52
Burkina Faso,2050,43432184,2.08 %,851312, ,22.7,5.23,159,49.9 %,21677231,0.45 %,9735033990,50
