country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
San Marino,2020,33931,0.39 %,132,566,97.1 %,32963,0 %,7794798739,218
San Marino,2025,34257,0.19 %,65,571,98.2 %,33648,0 %,8184437460,218
San Marino,2030,34413,0.09 %,31,574,99.2 %,34125,0 %,8548487400,218
San Marino,2035,34436,0.01 %,5,574,100 %,34420,0 %,8887524213,218
San Marino,2040,34350,-0.05 %,-17,573,N.A.,N.A.,0 %,9198847240,218
San Marino,2045,34083,-0.16 %,-53,568,N.A.,N.A.,0 %,9481803274,218
San Marino,2050,33640,-0.26 %,-89,561,N.A.,N.A.,0 %,9735033990,219
