country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Saint Lucia,2020,183627,0.50 %,900,0,34.5,1.44,301,18.6 %,34141,0.00 %,7794798739,189
Saint Lucia,2025,186920,0.36 %,659,0,36.6,1.44,306,19.2 %,35853,0.00 %,8184437460,189
Saint Lucia,2030,188738,0.19 %,364,0,39.0,1.44,309,20.1 %,37953,0.00 %,8548487400,189
Saint Lucia,2035,189056,0.03 %,64,0,41.6,1.44,310,21.4 %,40443,0.00 %,8887524213,189
Saint Lucia,2040,187944,-0.12 %,-222,0,44.2,1.44,308,23.0 %,43264,0.00 %,9198847240,191
Saint Lucia,2045,185589,-0.25 %,-471,0,46.5,1.44,304,24.8 %,46000,0.00 %,9481803274,191
Saint Lucia,2050,182129,-0.38 %,-692, ,48.4,1.44,299,26.7 %,48562,0.00 %,9735033990,191
