country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Mayotte,2020,272815,2.59 %,6559,0,20.1,3.73,728,45.8 %,124952,0.00 %,7794798739,186
Mayotte,2025,306883,2.38 %,6814,0,21.5,3.73,818,45.4 %,139411,0.00 %,8184437460,183
Mayotte,2030,342890,2.24 %,7201,0,23.1,3.73,914,45.9 %,157242,0.00 %,8548487400,183
Mayotte,2035,380800,2.12 %,7582,0,24.7,3.73,1015,47.1 %,179252,0.00 %,8887524213,181
Mayotte,2040,419423,1.95 %,7725,0,26.2,3.73,1118,49.1 %,205819,0.00 %,9198847240,180
Mayotte,2045,457716,1.76 %,7659,0,27.5,3.73,1221,51.3 %,234658,0.00 %,9481803274,179
Mayotte,2050,494839,1.57 %,7425, ,28.9,3.73,1320,53.4 %,264489,0.01 %,9735033990,178
