country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Gambia,2020,2416668,2.99 %,66162,-3087,17.8,5.25,239,59.4 %,1435308,0.03 %,7794798739,144
Gambia,2025,2780247,2.84 %,72716,-3087,18.3,5.25,275,62.3 %,1731095,0.03 %,8184437460,143
Gambia,2030,3170685,2.66 %,78088,-3087,19.0,5.25,313,64.8 %,2055288,0.04 %,8548487400,138
Gambia,2035,3581557,2.47 %,82174,-3087,19.9,5.25,354,67.1 %,2402797,0.04 %,8887524213,136
Gambia,2040,4008102,2.28 %,85309,-3087,21.1,5.25,396,69.0 %,2765918,0.04 %,9198847240,132
Gambia,2045,4443727,2.08 %,87125,-3087,22.3,5.25,439,70.7 %,3141268,0.05 %,9481803274,131
Gambia,2050,4882101,1.90 %,87675, ,23.5,5.25,482,72.2 %,3523313,0.05 %,9735033990,131
