country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Macao,2020,649335,1.52 %,9450,5000,39.3,1.20,21645,N.A.,N.A.,0.01 %,7794798739,167
Macao,2025,693893,1.34 %,8912,5000,41.7,1.20,23130,N.A.,N.A.,0.01 %,8184437460,167
Macao,2030,731874,1.07 %,7596,5000,44.2,1.20,24396,N.A.,N.A.,0.01 %,8548487400,167
Macao,2035,763357,0.85 %,6297,5000,46.8,1.20,25445,N.A.,N.A.,0.01 %,8887524213,168
Macao,2040,790718,0.71 %,5472,5000,48.9,1.20,26357,N.A.,N.A.,0.01 %,9198847240,168
Macao,2045,815665,0.62 %,4989,5000,50.3,1.20,27189,N.A.,N.A.,0.01 %,9481803274,168
Macao,2050,838368,0.55 %,4541, ,50.5,1.20,27946,N.A.,N.A.,0.01 %,9735033990,167
