country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Saint Helena,2020,6077,0.71 %,42,16,27.2 %,1654,0 %,7794798739,229
Saint Helena,2025,6146,0.23 %,14,16,28.3 %,1737,0 %,8184437460,229
Saint Helena,2030,6175,0.09 %,6,16,29.7 %,1837,0 %,8548487400,229
Saint Helena,2035,6149,-0.08 %,-5,16,31.5 %,1937,0 %,8887524213,229
Saint Helena,2040,6059,-0.29 %,-18,16,33.4 %,2022,0 %,9198847240,229
Saint Helena,2045,5931,-0.43 %,-26,15,35.2 %,2089,0 %,9481803274,229
Saint Helena,2050,5783,-0.5 %,-30,15,37.2 %,2150,0 %,9735033990,229
