country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Kuwait,2020,4270571,2.17 %,86996,39520,36.8,2.10,240,N.A.,N.A.,0.05 %,7794798739,129
Kuwait,2025,4517860,1.13 %,49458,14000,37.4,2.10,254,N.A.,N.A.,0.06 %,8184437460,129
Kuwait,2030,4747081,0.99 %,45844,14000,36.9,2.10,266,N.A.,N.A.,0.06 %,8548487400,129
Kuwait,2035,4958895,0.88 %,42363,12000,37.0,2.10,278,N.A.,N.A.,0.06 %,8887524213,129
Kuwait,2040,5152520,0.77 %,38725,12000,37.4,2.10,289,N.A.,N.A.,0.06 %,9198847240,129
Kuwait,2045,5303566,0.58 %,30209,11000,37.9,2.10,298,N.A.,N.A.,0.06 %,9481803274,129
Kuwait,2050,5393472,0.34 %,17981, ,38.6,2.10,303,N.A.,N.A.,0.06 %,9735033990,129
