country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Cabo Verde,2020,555987,1.16 %,6249,-1342,27.6,2.29,138,68.0 %,378148,0.01 %,7794798739,172
Cabo Verde,2025,584320,1.00 %,5667,-1244,30.2,2.29,145,70.9 %,414288,0.01 %,8184437460,172
Cabo Verde,2030,610057,0.87 %,5147,-933,32.3,2.29,151,73.8 %,449958,0.01 %,8548487400,172
Cabo Verde,2035,632890,0.74 %,4567,-700,34.2,2.29,157,76.4 %,483813,0.01 %,8887524213,171
Cabo Verde,2040,652379,0.61 %,3898,-525,35.9,2.29,162,78.9 %,514953,0.01 %,9198847240,171
Cabo Verde,2045,668007,0.47 %,3126,-393,37.4,2.29,166,81.3 %,543170,0.01 %,9481803274,171
Cabo Verde,2050,679394,0.34 %,2277, ,38.9,2.29,169,83.7 %,568705,0.01 %,9735033990,171
