country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Sint Maarten,2020,42876,1.41 %,582,1261,96.5 %,41364,0 %,7794798739,213
Sint Maarten,2025,45627,1.25 %,550,1342,96.1 %,43829,0 %,8184437460,213
Sint Maarten,2030,48076,1.05 %,490,1414,95.8 %,46034,0 %,8548487400,213
Sint Maarten,2035,50151,0.85 %,415,1475,95.5 %,47903,0 %,8887524213,213
Sint Maarten,2040,51934,0.7 %,357,1527,95.3 %,49482,0 %,9198847240,213
Sint Maarten,2045,53540,0.61 %,321,1575,95.1 %,50911,0 %,9481803274,212
Sint Maarten,2050,55017,0.55 %,295,1618,94.9 %,52238,0 %,9735033990,209
