country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Jamaica,2020,2961167,0.48 %,14029,-11332,30.7,1.99,273,55.4 %,1640435,0.04 %,7794798739,138
Jamaica,2025,3015321,0.36 %,10831,-11332,32.7,1.99,278,56.6 %,1706544,0.04 %,8184437460,138
Jamaica,2030,3047974,0.22 %,6531,-11332,34.7,1.99,281,58.1 %,1769809,0.04 %,8548487400,139
Jamaica,2035,3057896,0.07 %,1984,-11332,36.8,1.99,282,59.7 %,1827045,0.03 %,8887524213,139
Jamaica,2040,3045162,-0.08 %,-2547,-11332,38.7,1.99,281,61.4 %,1870747,0.03 %,9198847240,141
Jamaica,2045,3011815,-0.22 %,-6669,-11332,40.3,1.99,278,63.0 %,1896280,0.03 %,9481803274,142
Jamaica,2050,2960317,-0.34 %,-10300, ,41.5,1.99,273,64.3 %,1904123,0.03 %,9735033990,142
