country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Peru,2020,32971854,1.59 %,500224,99069,31.0,2.27,26,79.1 %,26082479,0.42 %,7794798739,43
Peru,2025,34517495,0.92 %,309128,-63800,32.6,2.27,27,80.8 %,27880400,0.42 %,8184437460,45
Peru,2030,36030592,0.86 %,302619,-25400,34.2,2.27,28,82.3 %,29642906,0.42 %,8548487400,48
Peru,2035,37387960,0.74 %,271474,-12200,35.6,2.27,29,83.8 %,31327208,0.42 %,8887524213,49
Peru,2040,38552106,0.62 %,232829,-9860,36.8,2.27,30,85.4 %,32918395,0.42 %,9198847240,50
Peru,2045,39551259,0.51 %,199831,-5920,38.0,2.27,31,86.9 %,34384997,0.42 %,9481803274,50
Peru,2050,40373987,0.41 %,164546, ,39.4,2.27,32,88.3 %,35667261,0.41 %,9735033990,52
