country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Liberia,2020,5057681,2.49 %,117090,-5000,19.4,4.35,53,52.6 %,2658561,0.06 %,7794798739,123
Liberia,2025,5692195,2.39 %,126903,-5000,20.3,4.35,59,55.3 %,3150252,0.07 %,8184437460,120
Liberia,2030,6371553,2.28 %,135872,-5000,21.2,4.35,66,58.4 %,3721867,0.07 %,8548487400,114
Liberia,2035,7085999,2.15 %,142889,-5000,22.2,4.35,74,61.7 %,4371694,0.08 %,8887524213,112
Liberia,2040,7825131,2.00 %,147826,-5000,23.0,4.35,81,65.0 %,5088181,0.09 %,9198847240,111
Liberia,2045,8579902,1.86 %,150954,-5000,23.9,4.35,89,68.3 %,5863026,0.09 %,9481803274,107
Liberia,2050,9339752,1.71 %,151970, ,24.9,4.35,97,71.6 %,6689194,0.10 %,9735033990,100
