country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
United States Virgin Islands,2020,104425,-0.10 %,-107,-451,42.6,2.05,298,96.3 %,100599,0.00 %,7794798739,199
United States Virgin Islands,2025,102955,-0.28 %,-294,-451,43.4,2.05,294,97.2 %,100042,0.00 %,8184437460,199
United States Virgin Islands,2030,100692,-0.44 %,-453,-451,43.6,2.05,288,97.9 %,98613,0.00 %,8548487400,201
United States Virgin Islands,2035,97833,-0.57 %,-572,-451,43.6,2.05,280,98.6 %,96456,0.00 %,8887524213,201
United States Virgin Islands,2040,94393,-0.71 %,-688,-451,44.3,2.05,270,99.2 %,93657,0.00 %,9198847240,201
United States Virgin Islands,2045,90454,-0.85 %,-788,-451,45.1,2.05,258,99.9 %,90407,0.00 %,9481803274,201
United States Virgin Islands,2050,86220,-0.95 %,-847, ,45.9,2.05,246,N.A.,N.A.,0.00 %,9735033990,202
