country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Montserrat,2020,4992,0.1 %,5,50,9.6 %,478,0 %,7794798739,231
Montserrat,2025,4895,-0.39 %,-19,49,10.2 %,501,0 %,8184437460,231
Montserrat,2030,4763,-0.55 %,-26,48,11.2 %,532,0 %,8548487400,231
Montserrat,2035,4620,-0.61 %,-29,46,12.4 %,574,0 %,8887524213,231
Montserrat,2040,4479,-0.62 %,-28,45,14 %,626,0 %,9198847240,231
Montserrat,2045,4323,-0.71 %,-31,43,15.7 %,677,0 %,9481803274,231
Montserrat,2050,4153,-0.8 %,-34,42,17.6 %,730,0 %,9735033990,231
