country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Georgia,2020,3989167,-0.17 %,-7003,-10000,38.3,2.06,57,58.1 %,2317778,0.05 %,7794798739,132
Georgia,2025,3929296,-0.30 %,-11974,-10000,39.2,2.06,57,60.0 %,2358908,0.05 %,8184437460,132
Georgia,2030,3853306,-0.39 %,-15198,-10000,40.4,2.06,55,62.1 %,2394111,0.05 %,8548487400,133
Georgia,2035,3771769,-0.43 %,-16307,-10000,41.3,2.06,54,64.3 %,2425551,0.04 %,8887524213,133
Georgia,2040,3689319,-0.44 %,-16490,-10000,41.5,2.06,53,66.5 %,2453848,0.04 %,9198847240,133
Georgia,2045,3605417,-0.46 %,-16780,-10000,40.8,2.06,52,68.6 %,2474585,0.04 %,9481803274,136
Georgia,2050,3516865,-0.50 %,-17710, ,40.9,2.06,51,70.6 %,2482576,0.04 %,9735033990,137
