country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Hong Kong,2020,7496981,0.85 %,62197,29308,44.8,1.33,7140,N.A.,N.A.,0.10 %,7794798739,104
Hong Kong,2025,7755531,0.68 %,51710,24000,46.4,1.33,7386,N.A.,N.A.,0.09 %,8184437460,104
Hong Kong,2030,8018670,0.67 %,52628,36440,47.9,1.33,7637,99.6 %,7987249,0.09 %,8548487400,105
Hong Kong,2035,8118975,0.25 %,20061,20000,49.7,1.33,7732,N.A.,N.A.,0.09 %,8887524213,105
Hong Kong,2040,8140302,0.05 %,4265,20000,51.3,1.33,7753,N.A.,N.A.,0.09 %,9198847240,107
Hong Kong,2045,8105788,-0.08 %,-6903,20000,52.7,1.33,7720,N.A.,N.A.,0.09 %,9481803274,110
Hong Kong,2050,8041048,-0.16 %,-12948, ,53.4,1.33,7658,N.A.,N.A.,0.08 %,9735033990,113
