country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Tanzania,2020,59734218,3.02 %,1650317,-40076,18.0,4.92,67,37.0 %,22113353,0.77 %,7794798739,24
Tanzania,2025,68934163,2.91 %,1839989,-40086,18.6,4.92,78,41.0 %,28244987,0.84 %,8184437460,22
Tanzania,2030,79162725,2.81 %,2045712,-40102,19.3,4.92,89,44.9 %,35529056,0.93 %,8548487400,20
Tanzania,2035,90415596,2.69 %,2250574,-40116,20.0,4.92,102,48.7 %,44000950,1.02 %,8887524213,19
Tanzania,2040,102586529,2.56 %,2434187,-40132,20.7,4.92,116,52.2 %,53579195,1.12 %,9198847240,17
Tanzania,2045,115596020,2.42 %,2601898,-40154,21.5,4.92,130,55.7 %,64407122,1.22 %,9481803274,15
Tanzania,2050,129386839,2.28 %,2758164, ,22.3,4.92,146,59.2 %,76542196,1.33 %,9735033990,15
