country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Guyana,2020,786552,0.49 %,3824,-6000,26.7,2.47,4,26.9 %,211821,0.01 %,7794798739,164
Guyana,2025,804956,0.46 %,3681,-5000,28.4,2.47,4,27.7 %,222762,0.01 %,8184437460,165
Guyana,2030,821590,0.41 %,3327,-3999,30.2,2.47,4,28.7 %,235547,0.01 %,8548487400,166
Guyana,2035,831873,0.25 %,2057,-3910,31.7,2.47,4,30.1 %,250134,0.01 %,8887524213,166
Guyana,2040,835326,0.08 %,691,-3910,33.1,2.47,4,31.9 %,266152,0.01 %,9198847240,167
Guyana,2045,832815,-0.06 %,-502,-3910,34.3,2.47,4,33.8 %,281556,0.01 %,9481803274,167
Guyana,2050,824957,-0.19 %,-1572, ,35.7,2.47,4,35.8 %,295494,0.01 %,9735033990,168
