country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
French Polynesia,2020,280908,0.56 %,1557,-1000,33.6,1.95,77,64.1 %,180188,0.00 %,7794798739,185
French Polynesia,2025,289028,0.57 %,1624,-500,35.7,1.95,79,64.4 %,186114,0.00 %,8184437460,186
French Polynesia,2030,296714,0.53 %,1537,-200,37.2,1.95,81,65.6 %,194751,0.00 %,8548487400,185
French Polynesia,2035,303023,0.42 %,1262,-100,38.6,1.95,83,67.1 %,203399,0.00 %,8887524213,185
French Polynesia,2040,307527,0.30 %,901,-100,40.1,1.95,84,68.9 %,211963,0.00 %,9198847240,186
French Polynesia,2045,310045,0.16 %,504,-100,41.5,1.95,85,71.1 %,220316,0.00 %,9481803274,186
French Polynesia,2050,310654,0.04 %,122, ,43.0,1.95,85,73.3 %,227666,0.00 %,9735033990,186
