country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Holy See,2020,801,-0.05 %,0,2003,N.A.,N.A.,0 %,7794798739,235
Holy See,2025,802,0.02 %,0,2005,99.9 %,801,0 %,8184437460,235
Holy See,2030,795,-0.18 %,-1,1988,N.A.,N.A.,0 %,8548487400,235
Holy See,2035,797,0.05 %,0,1993,99.7 %,795,0 %,8887524213,235
Holy See,2040,803,0.15 %,1,2008,99.4 %,798,0 %,9198847240,235
Holy See,2045,798,-0.12 %,-1,1995,N.A.,N.A.,0 %,9481803274,235
Holy See,2050,814,0.4 %,3,2035,99 %,806,0 %,9735033990,235
