country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Turkey,2020,84339067,1.44 %,1161932,283922,31.5,2.08,110,75.7 %,63803445,1.08 %,7794798739,17
Turkey,2025,86705224,0.55 %,473231,-319056,33.3,2.08,113,77.8 %,67446349,1.06 %,8184437460,18
Turkey,2030,89157785,0.56 %,490512,-209059,35.0,2.08,116,79.6 %,70951437,1.04 %,8548487400,18
Turkey,2035,91864241,0.60 %,541291,-67556,36.8,2.08,119,81.1 %,74480809,1.03 %,8887524213,18
Turkey,2040,94131585,0.49 %,453469,-60000,38.5,2.08,122,82.3 %,77516798,1.02 %,9198847240,19
Turkey,2045,95892325,0.37 %,352148,-60000,40.2,2.08,125,83.5 %,80097582,1.01 %,9481803274,19
Turkey,2050,97139570,0.26 %,249449, ,41.7,2.08,126,84.6 %,82192061,1.00 %,9735033990,19
