country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Liechtenstein,2020,38128,0.35 %,132,238,14.6 %,5571,0 %,7794798739,217
Liechtenstein,2025,38795,0.35 %,133,242,15.2 %,5900,0 %,8184437460,217
Liechtenstein,2030,39402,0.31 %,121,246,16.1 %,6342,0 %,8548487400,217
Liechtenstein,2035,39899,0.25 %,99,249,17.3 %,6900,0 %,8887524213,217
Liechtenstein,2040,40198,0.15 %,60,251,18.8 %,7558,0 %,9198847240,217
Liechtenstein,2045,40319,0.06 %,24,252,20.4 %,8235,0 %,9481803274,217
Liechtenstein,2050,40360,0.02 %,8,252,22.1 %,8939,0 %,9735033990,217
