country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Northern Mariana Islands,2020,57559,0.63 %,356,125,88.3 %,50808,0 %,7794798739,208
Northern Mariana Islands,2025,59339,0.61 %,356,129,87.2 %,51735,0 %,8184437460,208
Northern Mariana Islands,2030,61060,0.57 %,344,133,86.2 %,52661,0 %,8548487400,207
Northern Mariana Islands,2035,62355,0.42 %,259,136,85.1 %,53075,0 %,8887524213,207
Northern Mariana Islands,2040,62898,0.17 %,109,137,83.7 %,52676,0 %,9198847240,207
Northern Mariana Islands,2045,62662,-0.08 %,-47,136,82.1 %,51434,0 %,9481803274,207
Northern Mariana Islands,2050,62032,-0.2 %,-126,135,80 %,49651,0 %,9735033990,207
