country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
New Zealand,2020,4822233,0.88 %,41540,14881,38.0,1.90,18,86.9 %,4191405,0.06 %,7794798739,126
New Zealand,2025,5006445,0.75 %,36842,12400,38.9,1.90,19,87.7 %,4388310,0.06 %,8184437460,127
New Zealand,2030,5172962,0.66 %,33303,12400,40.0,1.90,20,88.5 %,4578933,0.06 %,8548487400,127
New Zealand,2035,5315417,0.54 %,28491,12400,41.3,1.90,20,89.5 %,4756338,0.06 %,8887524213,127
New Zealand,2040,5432993,0.44 %,23515,12400,42.3,1.90,21,90.5 %,4918991,0.06 %,9198847240,126
New Zealand,2045,5529569,0.35 %,19315,12400,43.1,1.90,21,91.6 %,5067731,0.06 %,9481803274,127
New Zealand,2050,5607793,0.28 %,15645, ,43.7,1.90,21,92.7 %,5200447,0.06 %,9735033990,126
