country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Portugal,2020,10196709,-0.33 %,-34328,-6000,46.2,1.29,111,66.5 %,6775807,0.13 %,7794798739,89
Portugal,2025,10060418,-0.27 %,-27258,8000,48.1,1.29,110,68.8 %,6926293,0.12 %,8184437460,94
Portugal,2030,9912679,-0.30 %,-29548,10000,49.8,1.29,108,71.1 %,7048858,0.12 %,8548487400,96
Portugal,2035,9747506,-0.34 %,-33035,10000,51.0,1.29,106,73.2 %,7135335,0.11 %,8887524213,97
Portugal,2040,9558265,-0.39 %,-37848,10000,51.6,1.29,104,75.1 %,7178825,0.10 %,9198847240,97
Portugal,2045,9338123,-0.46 %,-44028,10000,51.9,1.29,102,76.9 %,7179085,0.10 %,9481803274,99
Portugal,2050,9084576,-0.55 %,-50709, ,52.2,1.29,99,78.5 %,7133527,0.09 %,9735033990,102
