country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Mauritania,2020,4649658,2.82 %,120671,5000,20.1,4.59,5,56.9 %,2646714,0.06 %,7794798739,127
Mauritania,2025,5290949,2.62 %,128258,4001,20.7,4.59,5,60.6 %,3206736,0.06 %,8184437460,125
Mauritania,2030,5967168,2.43 %,135244,3000,21.4,4.59,6,63.8 %,3807767,0.07 %,8548487400,121
Mauritania,2035,6680816,2.29 %,142730,3000,22.3,4.59,6,66.5 %,4444113,0.08 %,8887524213,115
Mauritania,2040,7432083,2.15 %,150253,3000,23.1,4.59,7,68.7 %,5105847,0.08 %,9198847240,114
Mauritania,2045,8215471,2.02 %,156678,3000,23.9,4.59,8,70.6 %,5802413,0.09 %,9481803274,112
Mauritania,2050,9024892,1.90 %,161884, ,24.7,4.59,9,72.4 %,6532273,0.09 %,9735033990,106
