country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Saudi Arabia,2020,34813871,1.88 %,619241,134979,31.8,2.34,16,84.0 %,29255576,0.45 %,7794798739,41
Saudi Arabia,2025,37248919,1.36 %,487010,54187,33.3,2.34,17,85.5 %,31842626,0.46 %,8184437460,42
Saudi Arabia,2030,39322338,1.09 %,414684,55950,35.0,2.34,18,86.8 %,34142975,0.46 %,8548487400,42
Saudi Arabia,2035,41073374,0.88 %,350207,58318,36.3,2.34,19,88.1 %,36170029,0.46 %,8887524213,41
Saudi Arabia,2040,42473031,0.67 %,279931,38868,37.6,2.34,20,89.2 %,37878811,0.46 %,9198847240,44
Saudi Arabia,2045,43648838,0.55 %,235161,38931,38.9,2.34,20,90.3 %,39396408,0.46 %,9481803274,47
Saudi Arabia,2050,44562476,0.42 %,182728, ,40.2,2.34,21,91.4 %,40708624,0.46 %,9735033990,46
