country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Botswana,2020,2351627,2.09 %,46182,3000,24.0,2.89,4,72.8 %,1712212,0.03 %,7794798739,145
Botswana,2025,2567774,1.77 %,43229,3000,25.2,2.89,5,75.4 %,1937024,0.03 %,8184437460,145
Botswana,2030,2774340,1.56 %,41313,3000,26.5,2.89,5,77.5 %,2151354,0.03 %,8548487400,144
Botswana,2035,2974718,1.40 %,40076,3000,27.9,2.89,5,79.1 %,2353033,0.03 %,8887524213,143
Botswana,2040,3167786,1.27 %,38614,3000,29.3,2.89,6,80.2 %,2540719,0.03 %,9198847240,140
Botswana,2045,3347926,1.11 %,36028,3000,30.8,2.89,6,81.0 %,2712627,0.04 %,9481803274,140
Botswana,2050,3509819,0.95 %,32379, ,32.3,2.89,6,81.8 %,2870743,0.04 %,9735033990,139
